[0.006s][info][gc] Using Parallel
[3.108s][info ][gc,metaspace   ] GC(1) Metaspace: 20364K->20364K(1067008K)
[3.108s][info ][gc             ] GC(1) Pause Full (Metadata GC Threshold) 34M->34M(1542M) 124.463ms
[3.108s][info ][gc,cpu         ] GC(1) User=0.42s Sys=0.02s Real=0.13s
[3.108s][info ][safepoint      ] Leaving safepoint region
[3.108s][info ][safepoint      ] Total time for which application threads were stopped: 0.1589340 seconds, Stopping threads took: 0.0000086 seconds
[3.108s][info ][safepoint      ] Application time: 0.0007633 seconds
[3.108s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.109s][info ][safepoint      ] Leaving safepoint region
[3.109s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001925 seconds, Stopping threads took: 0.0000971 seconds
[3.109s][info ][safepoint      ] Application time: 0.0000506 seconds
[3.109s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.109s][info ][safepoint      ] Leaving safepoint region
[3.109s][info ][safepoint      ] Total time for which application threads were stopped: 0.0003759 seconds, Stopping threads took: 0.0003379 seconds
[3.109s][info ][safepoint      ] Application time: 0.0000502 seconds
[3.109s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.109s][info ][safepoint      ] Leaving safepoint region
[3.109s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000338 seconds, Stopping threads took: 0.0000049 seconds
[3.136s][info ][safepoint      ] Application time: 0.0264563 seconds
[3.136s][info ][safepoint      ] Entering safepoint region: Deoptimize
[3.136s][info ][safepoint      ] Leaving safepoint region
[3.136s][info ][safepoint      ] Total time for which application threads were stopped: 0.0003121 seconds, Stopping threads took: 0.0000295 seconds
[3.436s][info ][safepoint      ] Application time: 0.3005740 seconds
[3.437s][info ][safepoint      ] Entering safepoint region: ICBufferFull
[3.437s][info ][safepoint      ] Leaving safepoint region
[3.437s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001233 seconds, Stopping threads took: 0.0000113 seconds
[3.445s][info ][safepoint      ] Application time: 0.0085477 seconds
[3.445s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.445s][info ][safepoint      ] Leaving safepoint region
[3.445s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001222 seconds, Stopping threads took: 0.0000778 seconds
[3.445s][info ][safepoint      ] Application time: 0.0000728 seconds
[3.445s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.445s][info ][safepoint      ] Leaving safepoint region
[3.445s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000632 seconds, Stopping threads took: 0.0000342 seconds
[3.446s][info ][safepoint      ] Application time: 0.0002442 seconds
[3.446s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.446s][info ][safepoint      ] Leaving safepoint region
[3.446s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000957 seconds, Stopping threads took: 0.0000653 seconds
[3.446s][info ][safepoint      ] Application time: 0.0000630 seconds
[3.446s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.446s][info ][safepoint      ] Leaving safepoint region
[3.446s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000923 seconds, Stopping threads took: 0.0000569 seconds
[3.446s][info ][safepoint      ] Application time: 0.0000516 seconds
[3.446s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.446s][info ][safepoint      ] Leaving safepoint region
[3.446s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000613 seconds, Stopping threads took: 0.0000198 seconds
[3.446s][info ][safepoint      ] Application time: 0.0001244 seconds
[3.446s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.446s][info ][safepoint      ] Leaving safepoint region
[3.446s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000459 seconds, Stopping threads took: 0.0000171 seconds
[3.447s][info ][safepoint      ] Application time: 0.0005325 seconds
[3.447s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.447s][info ][safepoint      ] Leaving safepoint region
[3.447s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001471 seconds, Stopping threads took: 0.0000964 seconds
[3.448s][info ][safepoint      ] Application time: 0.0010296 seconds
[3.448s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.448s][info ][safepoint      ] Leaving safepoint region
[3.448s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001080 seconds, Stopping threads took: 0.0000560 seconds
[3.449s][info ][safepoint      ] Application time: 0.0003365 seconds
[3.449s][info ][safepoint      ] Entering safepoint region: RevokeBias
